time,PERIMETER-HEAD,PERIMETER-HEADS
527.0000000000,.3000000000000000E+31,-3147340.499409720
528.0000000000,.3000000000000000E+31,-3198651.763704014
529.0000000000,.3000000000000000E+31,-3156691.932511921
530.0000000000,.3000000000000000E+31,-3188290.709354097
531.0000000000,.3000000000000000E+31,-3142116.340350812
532.0000000000,.3000000000000000E+31,-3174709.476014639
533.0000000000,.3000000000000000E+31,-3128881.015055783
534.0000000000,.3000000000000000E+31,-3161732.382875272
535.0000000000,.3000000000000000E+31,-3117542.626133872
536.0000000000,.3000000000000000E+31,-3173089.215941244
537.0000000000,.3000000000000000E+31,-3144633.976499496
538.0000000000,.3000000000000000E+31,-3090335.057690202
539.0000000000,.3000000000000000E+31,-3080851.296844005
540.0000000000,.3000000000000000E+31,-3070111.104323308
541.0000000000,.3000000000000000E+31,-3067056.947539445
542.0000000000,.3000000000000000E+31,-3111505.333451621
543.0000000000,.3000000000000000E+31,-3073729.749666078
544.0000000000,.3000000000000000E+31,-3073185.026559294
545.0000000000,.3000000000000000E+31,-3048022.935059543
546.0000000000,.3000000000000000E+31,-3087820.203063501
547.0000000000,.3000000000000000E+31,-3027651.205017906
548.0000000000,.3000000000000000E+31,-3026695.987428698
549.0000000000,.3000000000000000E+31,-3011804.591289866
550.0000000000,.3000000000000000E+31,-3000237.872712052
551.0000000000,.3000000000000000E+31,-3050332.021030082
552.0000000000,.3000000000000000E+31,-3008047.828965377
553.0000000000,.3000000000000000E+31,-3024806.763729075
554.0000000000,.3000000000000000E+31,-2997741.637509788
555.0000000000,.3000000000000000E+31,-2974939.692070547
556.0000000000,.3000000000000000E+31,-3022458.425363830
557.0000000000,.3000000000000000E+31,-2978799.582795149
558.0000000000,.3000000000000000E+31,-2997075.914121625
559.0000000000,.3000000000000000E+31,-2973318.932049543
560.0000000000,.3000000000000000E+31,-2950272.103238640
561.0000000000,.3000000000000000E+31,-2994243.291007234
562.0000000000,.3000000000000000E+31,-2953315.954048329
563.0000000000,.3000000000000000E+31,-3587217.105147580
564.0000000000,.3000000000000000E+31,-2962954.790586291
565.0000000000,.3000000000000000E+31,-2952397.609235825
566.0000000000,.3000000000000000E+31,-2950373.105906524
567.0000000000,.3000000000000000E+31,-3122022.071313433
568.0000000000,.3000000000000000E+31,-3220143.154444498
569.0000000000,.3000000000000000E+31,-2988057.312999801
570.0000000000,.3000000000000000E+31,-2957603.541002609
571.0000000000,.3000000000000000E+31,-3101614.046563965
572.0000000000,.3000000000000000E+31,-2944050.390991772
573.0000000000,.3000000000000000E+31,-2988962.077051669
574.0000000000,.3000000000000000E+31,-2953160.944565229
575.0000000000,.3000000000000000E+31,-2920134.320761806
576.0000000000,.3000000000000000E+31,-2978866.606592944
577.0000000000,.3000000000000000E+31,-2936681.541148348
578.0000000000,.3000000000000000E+31,-2940621.857262501
579.0000000000,.3000000000000000E+31,-2942758.216220023
580.0000000000,.3000000000000000E+31,-2931425.710375486
581.0000000000,.3000000000000000E+31,-2942428.949628589
582.0000000000,.3000000000000000E+31,-2920556.556690175
583.0000000000,.3000000000000000E+31,-2913137.588967889
584.0000000000,.3000000000000000E+31,-2958784.210656704
585.0000000000,.3000000000000000E+31,-2908110.956454697
586.0000000000,.3000000000000000E+31,-2950181.709867959
587.0000000000,.3000000000000000E+31,-2897677.644121932
588.0000000000,.3000000000000000E+31,-2922962.544186531
589.0000000000,.3000000000000000E+31,-2975952.476387071
590.0000000000,.3000000000000000E+31,-3111377.782173981
591.0000000000,.3000000000000000E+31,-2863434.565354622
592.0000000000,.3000000000000000E+31,-2855461.625854755
593.0000000000,.3000000000000000E+31,-2900120.538292706
594.0000000000,.3000000000000000E+31,-2965691.588126887
595.0000000000,.3000000000000000E+31,-3572931.453544699
596.0000000000,.3000000000000000E+31,-3101991.032572589
597.0000000000,.3000000000000000E+31,-2903627.395277942
598.0000000000,.3000000000000000E+31,-2898319.333112558
599.0000000000,.3000000000000000E+31,-2892016.961819793
600.0000000000,.3000000000000000E+31,-2938139.645096866
601.0000000000,.3000000000000000E+31,-2899009.831761184
602.0000000000,.3000000000000000E+31,-2930955.400102272
603.0000000000,.3000000000000000E+31,-2890026.259329679
604.0000000000,.3000000000000000E+31,-2921573.256794638
605.0000000000,.3000000000000000E+31,-2881109.518889072
606.0000000000,.3000000000000000E+31,-2912610.068158942
607.0000000000,.3000000000000000E+31,-2876552.344383578
608.0000000000,.3000000000000000E+31,-2847966.966108327
609.0000000000,.3000000000000000E+31,-2843399.447890481
610.0000000000,.3000000000000000E+31,-2841548.766156328
611.0000000000,.3000000000000000E+31,-2865009.364975942
612.0000000000,.3000000000000000E+31,-2882047.438582273
613.0000000000,.3000000000000000E+31,-2846758.536196165
614.0000000000,.3000000000000000E+31,-2904784.157364510
615.0000000000,.3000000000000000E+31,-2926885.884272776
616.0000000000,.3000000000000000E+31,-2831473.843629424
617.0000000000,.3000000000000000E+31,-2974151.309929861
618.0000000000,.3000000000000000E+31,-3433337.946527812
619.0000000000,.3000000000000000E+31,-3148289.036384755
620.0000000000,.3000000000000000E+31,-4662755.008480960
621.0000000000,.3000000000000000E+31,-3100340.049964603
622.0000000000,.3000000000000000E+31,-3004806.982785287
623.0000000000,.3000000000000000E+31,-2996875.583054692
