total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
1106,432.0000000000000,68,1,1,16,-5.015563556163272,1,,2480
1112,432.0000000000000,68,1,2,6,-1.606372951555336,1,,9008
1114,432.0000000000000,68,1,3,2,.1455930323380770,1,,9008
1116,432.0000000000000,68,1,4,2,.4376762201534490E-01,1,,9008
1126,433.0000000000000,69,1,1,10,-.3449673263829496,1,,8333
1128,433.0000000000000,69,1,2,2,-.2093907239631037,1,,20821
1130,433.0000000000000,69,1,3,2,.1725947028889063E-01,1,,2496
1140,434.0000000000000,70,1,1,10,-.2976401644339077,1,,9007
1143,434.0000000000000,70,1,2,3,-.9383695504769918E-01,1,,8255
1151,435.0000000000000,71,1,1,8,.3969212472538040,1,,6461
1154,435.0000000000000,71,1,2,3,-.1322894224109916,1,,8630
1156,435.0000000000000,71,1,3,2,-.3999422204859115E-01,1,,8630
1164,436.0000000000000,72,1,1,8,.6600453107755122,1,,5606
1167,436.0000000000000,72,1,2,3,.5610581486544852E-01,1,,18274
1179,437.0000000000000,73,1,1,12,1.582989451620033,1,,5606
1184,437.0000000000000,73,1,2,5,.3217704479666921,1,,2496
1187,437.0000000000000,73,1,3,3,-.3586830361537707E-01,1,,7495
1200,438.0000000000000,74,1,1,13,-2.096665849707765,1,,5606
1202,438.0000000000000,74,1,2,2,.2119048258495324,1,,2496
1204,438.0000000000000,74,1,3,2,.6459022774175338E-01,1,,2496
1211,439.0000000000000,75,1,1,7,-.5730851269894650,1,,6377
1214,439.0000000000000,75,1,2,3,-.1038949373217761,1,,38369
1215,439.0000000000000,75,1,3,1,.7505297963734225E-02,1,,2586
1222,440.0000000000000,76,1,1,7,-.1306354842369410,1,,2581
1225,440.0000000000000,76,1,2,3,-.7708683241495962E-01,1,,5954
1232,441.0000000000000,77,1,1,7,-.1301836468291846,1,,36530
1235,441.0000000000000,77,1,2,3,-.6141712736116212E-01,1,,3977
1245,442.0000000000000,78,1,1,10,-.1177051291880371,1,,3811
1248,442.0000000000000,78,1,2,3,-.3864357694031639E-01,1,,3363
1255,443.0000000000000,79,1,1,7,-.1060231773688587,1,,2459
1258,443.0000000000000,79,1,2,3,-.9556701381380428E-01,1,,3256
1265,444.0000000000000,80,1,1,7,-.1096437256135632,1,,3256
1268,444.0000000000000,80,1,2,3,-.1007881724865243,1,,6040
1269,444.0000000000000,80,1,3,1,.4566287803632996E-02,1,,2407
1276,445.0000000000000,81,1,1,7,-.1198703528864726,1,,6379
1279,445.0000000000000,81,1,2,3,-.2691176948373730E-01,1,,186609
1288,446.0000000000000,82,1,1,9,3.269356575749011,1,,5606
1296,446.0000000000000,82,1,2,8,1.682742677014484,1,,2407
1300,446.0000000000000,82,1,3,4,-.2556506631342650,1,,6379
1302,446.0000000000000,82,1,4,2,-.5211092379154891E-01,1,,6379
1313,447.0000000000000,83,1,1,11,-.9857912996345863,1,,2480
1318,447.0000000000000,83,1,2,5,.2980753613925904,1,,2669
1320,447.0000000000000,83,1,3,2,.2351471492042556E-01,1,,2753
1334,448.0000000000000,84,1,1,14,-2.218768704731179,1,,5606
1336,448.0000000000000,84,1,2,2,-.3747168143147910,1,,36786
1338,448.0000000000000,84,1,3,2,.7868494656129155E-01,1,,2496
1350,449.0000000000000,85,1,1,12,-.5013786463299468,1,,8525
1352,449.0000000000000,85,1,2,2,-.1709495222000559,1,,5282
1354,449.0000000000000,85,1,3,2,.1568148300950867E-01,1,,6195
1361,450.0000000000000,86,1,1,7,-.2162076033862430,1,,20570
1364,450.0000000000000,86,1,2,3,-.2012068332940515,1,,6039
1365,450.0000000000000,86,1,3,1,.3788297191062995E-02,1,,19099
1372,451.0000000000000,87,1,1,7,-.1639949577196944,1,,8711
1375,451.0000000000000,87,1,2,3,-.1068386576063309,1,,3256
1376,451.0000000000000,87,1,3,1,.1620646796887115E-02,1,,66916
1383,452.0000000000000,88,1,1,7,-.1099935188757577,1,,3811
1386,452.0000000000000,88,1,2,3,-.2571299068106292E-01,1,,18274
1393,453.0000000000000,89,1,1,7,-.8346113847409908E-01,1,,2582
1401,454.0000000000000,90,1,1,8,-.1966569314020177,1,,36530
1404,454.0000000000000,90,1,2,3,-.4699181406431308E-01,1,,8339
1411,455.0000000000000,91,1,1,7,-.1400417773262355,1,,5618
1414,455.0000000000000,91,1,2,3,-.4276231080019244E-01,1,,8517
1421,456.0000000000000,92,1,1,7,1.130277686200266,1,,211067
1424,456.0000000000000,92,1,2,3,-.3500911808781382E-01,1,,223472
1430,457.0000000000000,93,1,1,6,1.036462140503431,1,,5606
1436,457.0000000000000,93,1,2,6,.2982823793594003,1,,2407
1437,457.0000000000000,93,1,3,1,-.9187525814095210E-02,1,,37737
1446,458.0000000000000,94,1,1,9,.7637764897669772,1,,2306
1451,458.0000000000000,94,1,2,5,-.1382640454975039,1,,5954
1454,458.0000000000000,94,1,3,3,-.4169077628388962E-01,1,,5954
1467,459.0000000000000,95,1,1,13,-.6265742071370752,1,,5606
1469,459.0000000000000,95,1,2,2,-.5030784791088649E-01,1,,8792
1480,460.0000000000000,96,1,1,11,-.8922473056726119,1,,5606
1484,460.0000000000000,96,1,2,4,-.1373443859793824,1,,8711
1486,460.0000000000000,96,1,3,2,.1268771213388042E-01,1,,3806
1493,461.0000000000000,97,1,1,7,-.1679379941169543,1,,5954
1496,461.0000000000000,97,1,2,3,-.4335355375942385E-01,1,,8339
1503,462.0000000000000,98,1,1,7,-.7773101588562170E-01,1,,4571
1510,463.0000000000000,99,1,1,7,-.9759778369261074E-01,1,,2044
1517,464.0000000000000,100,1,1,7,-.1710484697316303,1,,36616
1520,464.0000000000000,100,1,2,3,-.4456246815329479E-01,1,,37372
1524,465.0000000000000,101,1,1,4,-.1530393656086808,1,,6379
1527,465.0000000000000,101,1,2,3,-.6582539451241232E-01,1,,5953
1531,466.0000000000000,102,1,1,4,-.9091221805266159E-01,1,,5953
1538,467.0000000000000,103,1,1,7,-.7843578527565143E-01,1,,8919
1542,468.0000000000000,104,1,1,4,-.1011582197454830,1,,3760
1545,468.0000000000000,104,1,2,3,-.4356884157303575E-01,1,,232865
1549,469.0000000000000,105,1,1,4,-.6749475247266901E-01,1,,4414
1561,470.0000000000000,106,1,1,12,3.950297192395174,1,,2480
1571,470.0000000000000,106,1,2,10,1.778139558274123,1,,2407
1573,470.0000000000000,106,1,3,2,-.3710594410628403,1,,36955
1575,470.0000000000000,106,1,4,2,-.7626687602481752E-01,1,,36955
1589,471.0000000000000,107,1,1,14,3.045028601542143,1,,2307
1599,471.0000000000000,107,1,2,10,2.223415991812654,1,,2496
