time,USGS_S_2040,USGS_S_2048,USGS_S_2063,USGS_S_2106,USGS_S_2119,USGS_S_2123,USGS_S_2157,USGS_S_2178,USGS_S_2219,USGS_S_2232,USGS_S_2233,USGS_S_2491,USGS_S_2493,USGS_S_2499,USGS_S_2500,USGS_S_2504,USGS_S_2505,USGS_S_2512,USGS_S_2513,USGS_S_2530
480.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
481.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
482.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
483.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
484.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
485.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
486.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
487.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
488.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
489.0000000000,-33497.80000000000,-25675.30000000000,-24592.90000000000,-73032.70000000000,-156303.0000000000,-53075.50000000000,-147191.0000000000,-14976.50000000000,-31966.90000000000,-19702.80000000000,-18029.60000000000,-1487.740000000000,-694.2760000000000,-106617.0000000000,-21350.10000000000,-36412.90000000000,-28245.40000000000,-20224.60000000000,-71894.30000000000,-85891.89999999999
