time,MILLCREEK0,MILLCREEK1,MILLCREEK2,MILLCREEK3,MILLCREEK4,MILLCREEK5,MILLCREEK6,MILLCREEK7
446.0000000000,-12693.56749063258,-10020.68127764550,-11312.16965273745,-10120.78386259546,-10014.69175304994,-7050.514412964888,.000000000000000,.000000000000000
447.0000000000,-12478.66534888251,-9792.901243534365,-11176.93840688618,-10236.00191675608,-10120.91405958568,-7153.173492014278,.000000000000000,.000000000000000
448.0000000000,-11925.55979402882,-9219.904854564325,-10796.40315536247,-10229.00061773889,-10115.86680582203,-7146.070322137194,.000000000000000,.000000000000000
449.0000000000,-11808.10719416864,-9100.972617179488,-10662.62029203698,-10185.06147994804,-10075.41540407754,-7105.073147180899,.000000000000000,.000000000000000
450.0000000000,-11783.43467726728,-9073.663667008757,-10622.71372226004,-10142.41405238492,-10036.57911151816,-7067.020776736438,.000000000000000,.000000000000000
451.0000000000,-11759.86465472854,-9047.996098382393,-10585.93625823646,-10101.53916427497,-9999.178968417420,-7031.161920408977,.000000000000000,.000000000000000
452.0000000000,-11737.29458277401,-9023.802378417453,-10552.04213418080,-10062.75627123241,-9963.169798071813,-6997.028225103014,.000000000000000,.000000000000000
453.0000000000,-11715.53182995980,-9000.780971400631,-10520.34504942069,-10026.03934740045,-9928.497010107789,-6964.304218030004,.000000000000000,.000000000000000
454.0000000000,-11694.21712425845,-8978.427529307755,-10489.67772174075,-9990.885121354473,-9894.987770235732,-6932.735993897712,.000000000000000,.000000000000000
455.0000000000,-11673.46517376255,-8956.862752065443,-10460.37805846923,-9957.163418449425,-9862.563148849151,-6902.154777649162,.000000000000000,.000000000000000
456.0000000000,-11653.98188025185,-8936.603634303910,-10432.67957149309,-9924.832997855770,-9831.208923937520,-6872.466847148483,.000000000000000,.000000000000000
457.0000000000,-11950.47596453103,-9238.332363869180,-10688.30937494144,-9968.487487507262,-9870.043735675437,-6914.443412160178,.000000000000000,.000000000000000
458.0000000000,-12076.29352163833,-9368.358950708804,-10780.18306915635,-10020.72107356415,-9917.494171579196,-6960.425107282122,.000000000000000,.000000000000000
459.0000000000,-11932.76006254864,-9219.373065777949,-10677.59170198049,-10032.44376038895,-9927.048929947978,-6968.232457144689,.000000000000000,.000000000000000
460.0000000000,-11701.86289025959,-8987.294541337767,-10503.22337584094,-9997.879330388503,-9894.220928060322,-6934.580598683041,.000000000000000,.000000000000000
461.0000000000,-11679.99468438527,-8964.122343397346,-10471.23331914873,-9964.014017916208,-9862.400259582580,-6902.776863507982,.000000000000000,.000000000000000
462.0000000000,-11659.06984210194,-8942.191706158030,-10441.24401678158,-9931.175892647794,-9831.488279273386,-6872.382727035535,.000000000000000,.000000000000000
463.0000000000,-11638.79752276221,-8921.165813062291,-10412.81578216697,-9899.470732916987,-9801.426460635168,-6843.110488176943,.000000000000000,.000000000000000
464.0000000000,-11619.10814961915,-8900.921701428788,-10385.69706555441,-9868.899379697339,-9772.178049729724,-6814.769563951674,.000000000000000,.000000000000000
465.0000000000,-11599.91571425379,-8881.339448029668,-10359.68023314357,-9839.409475218503,-9743.711196835340,-6787.229034219067,.000000000000000,.000000000000000
466.0000000000,-11581.19783467848,-8862.353376362238,-10334.61729904463,-9810.926592495680,-9715.992543777191,-6760.392111148170,.000000000000000,.000000000000000
467.0000000000,-11562.86759220160,-8843.865017294747,-10310.36739931925,-9783.367093605488,-9688.984661186329,-6734.184434397123,.000000000000000,.000000000000000
468.0000000000,-11544.88973837120,-8825.821207908109,-10286.83173709102,-9756.649006846745,-9662.647651461604,-6708.544407232098,.000000000000000,.000000000000000
469.0000000000,-11527.23004113897,-8808.174276770682,-10263.92833503674,-9730.697126327654,-9636.943681164415,-6683.426341146943,.000000000000000,.000000000000000
470.0000000000,-12785.27745513477,-10120.05520467629,-11401.81648523923,-10015.88361387281,-9902.359783405303,-6951.812396565508,.000000000000000,.000000000000000
471.0000000000,-13767.98762437261,-11147.17960218435,-12220.14633532665,-10432.01853056935,-10290.88435325464,-7325.759483984833,.000000000000000,.000000000000000
472.0000000000,-11935.38377580245,-9237.928430859678,-10858.52148052314,-10384.56086103077,-10246.98965966681,-7274.741236241279,.000000000000000,.000000000000000
473.0000000000,-11906.99913628192,-9203.790166070776,-10804.92403755075,-10336.04500183007,-10205.09904189477,-7229.684170868145,.000000000000000,.000000000000000
474.0000000000,-11972.42759757873,-9259.705413080048,-10815.93783432925,-10301.36199957551,-10176.11404154414,-7199.746563693882,.000000000000000,.000000000000000
475.0000000000,-11866.55659023100,-9155.241967660420,-10728.55617241493,-10255.68925586600,-10136.93764109695,-7161.382615671003,.000000000000000,.000000000000000
476.0000000000,-11842.51677891232,-9128.335396073448,-10689.13933063548,-10212.25372418253,-10099.09081915264,-7125.415481148780,.000000000000000,.000000000000000
477.0000000000,-11819.55210736198,-9103.112538425736,-10652.83655498680,-10171.14379966511,-10062.55116046743,-7091.331776133366,.000000000000000,.000000000000000
478.0000000000,-11797.38237169786,-9079.178296866477,-10618.98382905100,-10132.25061971025,-10027.27938506720,-7058.750418925655,.000000000000000,.000000000000000
479.0000000000,-11775.89216517678,-9056.312917502015,-10587.12893530462,-10095.38599264876,-9993.220498596134,-7027.381697728527,.000000000000000,.000000000000000
480.0000000000,-11755.01983181209,-9034.381026605439,-10556.98171730775,-10060.36611585198,-9960.328133420046,-6997.039525457260,.000000000000000,.000000000000000
481.0000000000,-11734.86554899516,-9013.473961085690,-10528.81315300444,-10027.25915516350,-9928.627292059680,-6967.614549071634,.000000000000000,.000000000000000
482.0000000000,-11985.18838296250,-9268.546175273119,-10773.89271731112,-10072.00790279869,-9969.737785724445,-7013.947201688486,.000000000000000,.000000000000000
483.0000000000,-11737.88607639422,-9017.239980599852,-10537.88181723571,-10038.45501583520,-9937.290067219672,-6981.530641807613,.000000000000000,.000000000000000
484.0000000000,-11717.74296018061,-8996.387477813685,-10509.20768995354,-10006.07100726329,-9905.983539322195,-6950.658050043869,.000000000000000,.000000000000000
485.0000000000,-11698.11200589579,-8976.177624986654,-10481.53285118969,-9974.703873274128,-9875.662438186782,-6921.005371449267,.000000000000000,.000000000000000
486.0000000000,-11667.06778024159,-8946.602456483792,-10448.00296293591,-9942.952258568133,-9845.066888123018,-6891.604578030115,.000000000000000,.000000000000000
487.0000000000,-11645.46351083407,-8925.015146877284,-10419.96086017030,-9911.990855800561,-9815.101606151942,-6862.819868333702,.000000000000000,.000000000000000
488.0000000000,-11625.13617890894,-8904.683161852608,-10393.27977077150,-9881.927259827085,-9785.850021196806,-6834.648519838915,.000000000000000,.000000000000000
489.0000000000,-11605.27958974966,-8884.900722560134,-10367.44675496249,-9852.733472325730,-9757.298017045690,-6807.051737594055,.000000000000000,.000000000000000
490.0000000000,-11585.81828587366,-8865.579228319499,-10342.34316347215,-9824.360401202130,-9729.420969910763,-6779.998604711710,.000000000000000,.000000000000000
491.0000000000,-11566.69288618337,-8846.652579194984,-10317.87349337611,-9796.747943327160,-9702.183951206931,-6753.455117924220,.000000000000000,.000000000000000
492.0000000000,-11547.85479303898,-8828.071257123234,-10293.96452280316,-9769.835196646240,-9675.549953107167,-6727.390485161303,.000000000000000,.000000000000000
493.0000000000,-11529.28733798120,-8809.808031860381,-10270.56006818171,-9743.562452309638,-9649.475868802519,-6701.771713883179,.000000000000000,.000000000000000
494.0000000000,-11510.94693125596,-8791.822324581080,-10247.60663450185,-9717.875278593307,-9623.925265679427,-6676.571331305674,.000000000000000,.000000000000000
495.0000000000,-11492.82497624744,-8774.098080830556,-10225.06686945982,-9692.725254362012,-9598.865165339184,-6651.765607188184,.000000000000000,.000000000000000
496.0000000000,-11474.93418362374,-8756.633990416189,-10202.91606537452,-9668.070231061278,-9574.265041949209,-6627.333421260032,.000000000000000,.000000000000000
497.0000000000,-11457.26928935504,-8739.420750348329,-10181.13147464614,-9643.874223430255,-9550.097693292508,-6603.256465237383,.000000000000000,.000000000000000
498.0000000000,-11439.80974009946,-8722.434858280463,-10159.68165827619,-9620.103500228073,-9526.336358827155,-6579.517097931946,.000000000000000,.000000000000000
499.0000000000,-11422.54804922150,-8705.666955423441,-10138.54838503602,-9596.729594493023,-9502.958226761870,-6556.101209305149,.000000000000000,.000000000000000
500.0000000000,-11405.46448603221,-8689.095623650994,-10117.70516105690,-9573.725227486846,-9479.940236343413,-6532.993743897095,.000000000000000,.000000000000000
501.0000000000,-11410.11723770521,-8697.603793435979,-10168.90831345771,-9576.468584848086,-9481.384071623512,-6537.799914997201,.000000000000000,.000000000000000
502.0000000000,-11421.82806519485,-8703.449496366859,-10168.21446860006,-9576.781494180437,-9480.049409076593,-6538.282972594520,.000000000000000,.000000000000000
503.0000000000,-11398.19922998600,-8678.599978156997,-10111.34191203298,-9557.590233281644,-9460.617640643635,-6517.477610285366,.000000000000000,.000000000000000
504.0000000000,-11831.20620131777,-9140.508482474779,-10686.43251412426,-9718.644683703274,-9611.293601871608,-6680.100343972045,.000000000000000,.000000000000000
505.0000000000,-11443.15160157791,-8733.466253339669,-10198.47264489489,-9686.651506324855,-9581.183886747262,-6643.885323397240,.000000000000000,.000000000000000
506.0000000000,-11425.18501793049,-8715.115407632964,-10170.77417026498,-9655.184887103685,-9551.946124992219,-6610.691220366442,.000000000000000,.000000000000000
507.0000000000,-11407.72249365722,-8697.382010948269,-10144.92420465303,-9624.757677481708,-9523.573423898604,-6579.739478074832,.000000000000000,.000000000000000
508.0000000000,-11390.49962020887,-8680.001314465735,-10120.36799143990,-9595.521600406415,-9496.046566486548,-6550.513420197204,.000000000000000,.000000000000000
509.0000000000,-11373.53817516528,-8662.970689048656,-10096.85244829924,-9567.466631307077,-9469.335410963851,-6522.658735979906,.000000000000000,.000000000000000
510.0000000000,-11356.91459406293,-8646.333303708316,-10074.24441008437,-9540.522336913220,-9443.404554202440,-6495.926492747692,.000000000000000,.000000000000000
511.0000000000,-11340.47203775079,-8629.958499094984,-10052.32390483603,-9514.577571331920,-9418.203242701868,-6470.131622149661,.000000000000000,.000000000000000
512.0000000000,-11324.04623106451,-8613.708689716726,-10030.88497744462,-9489.501782251562,-9393.669212525407,-6445.130961402657,.000000000000000,.000000000000000
513.0000000000,-11307.80175875098,-8597.692515325483,-10009.94100790332,-9465.195032635895,-9369.756756155617,-6420.827557027554,.000000000000000,.000000000000000
514.0000000000,-11291.73961039490,-8581.900947843775,-9989.434926436496,-9441.568274212543,-9346.416993531549,-6397.139922494008,.000000000000000,.000000000000000
515.0000000000,-11275.83555311565,-8566.305593742121,-9969.308911835938,-9418.542269130025,-9323.600588412277,-6373.998538664276,.000000000000000,.000000000000000
516.0000000000,-11260.07192846917,-8550.882040806713,-9949.511185904437,-9396.043968327891,-9301.252448054251,-6351.332117869967,.000000000000000,.000000000000000
517.0000000000,-11233.87817595580,-8526.736113619441,-9923.711371859785,-9372.751274665272,-9278.282115137661,-6328.418308565416,.000000000000000,.000000000000000
518.0000000000,-11215.86273991803,-8509.386918887001,-9902.258546590367,-9349.678122206027,-9255.501938866651,-6305.669784882221,.000000000000000,.000000000000000
519.0000000000,-11199.48683803236,-8493.698514186553,-9883.873777545892,-9327.809414786409,-9233.902013339095,-6284.167086829907,.000000000000000,.000000000000000
